index,prediction,label,err
269,0.0,0.88506883,0.88506883
270,0.0,0.9164162,0.9164162
271,0.0,1.1207824,1.1207824
272,0.0,1.7392955,1.7392955
273,0.0,3.3783884,3.3783884
274,0.21049905,7.364725,7.1542263
275,10.807644,15.774343,4.9666986
276,24.319237,30.25653,5.937294
277,41.86977,49.391106,7.5213356
278,60.77225,66.81692,6.0446663
279,72.16764,73.842606,1.6749649
280,65.217545,66.14724,0.9296951
281,49.028244,47.86091,-1.1673355
282,29.43715,28.059212,-1.3779373
283,14.177547,13.730451,-0.44709682
284,6.4432135,6.4515777,0.008364201
285,2.3710027,4.0465674,1.6755648
286,1.4703448,3.6125975,2.1422527
287,1.4703448,3.2910643,1.8207195
288,1.4703448,1.6758616,0.20551682
289,1.0707481,0.79942256,-0.27132553
290,0.0,0.12233426,0.12233426
291,0.0,0.0,0.0
292,0.0,0.0,0.0
293,0.0,0.0,0.0
294,0.0,0.014272865,0.014272865
295,0.0,0.04263745,0.04263745
296,0.0,0.1300349,0.1300349
297,0.0,0.4864621,0.4864621
298,0.0,1.5670313,1.5670313
299,0.0,3.9033089,3.9033089
300,0.0,7.574548,7.574548
301,0.0,11.688682,11.688682
302,0.0,14.540506,14.540506
303,0.0,14.605427,14.605427
304,0.0,11.660817,11.660817
305,0.0,7.0422373,7.0422373
306,0.0,2.7144485,2.7144485
307,0.0,0.0,0.0
308,0.0,0.0,0.0
309,0.0,0.0,0.0
310,0.0,0.0,0.0
311,0.0,0.54034275,0.54034275
312,1.4703448,1.6366696,0.16632485
313,2.5888562,2.8934624,0.3046062
314,3.744755,4.2225356,0.47778058
315,4.9792633,5.4519477,0.47268438
316,6.1006937,6.664713,0.5640192
317,10.253042,9.621469,-0.6315737
318,17.479525,15.683917,-1.7956076
319,33.399826,29.757538,-3.6422882
320,58.393814,55.00241,-3.3914032
321,98.63271,89.82415,-8.808563
322,138.07343,126.25161,-11.8218155
323,163.7923,153.09425,-10.698044
324,171.03162,161.85173,-9.179886
325,163.35748,150.97345,-12.384033
326,134.0184,126.70889,-7.3095093
327,110.364265,100.68246,-9.681808
328,95.732605,84.0739,-11.658707
329,91.6162,80.91356,-10.702644
330,93.94068,86.70429,-7.236389
331,99.332146,94.68942,-4.642723
332,105.39026,96.326996,-9.063263
333,109.73708,103.93144,-5.805641
334,110.997856,107.84579,-3.152069
335,99.98191,100.85272,0.87081146
336,78.47988,79.97175,1.4918671
337,49.193504,51.20774,2.0142365
338,25.037205,24.792902,-0.24430275
339,6.4899683,7.4133334,0.9233651
340,0.0,0.0,0.0
341,2.2690935,1.2425103,-1.0265832
342,11.719206,11.419672,-0.29953384
343,33.128853,32.49673,-0.63212204
344,64.52263,64.393166,-0.1294632
345,104.40921,101.06639,-3.3428192
346,135.11816,131.14728,-3.9708862
